QTY,MPN,Value,Manufacturer,Ref. Des.,Package
27,GCM155R71C104KA55D,100 nF - 16 V - X7R - 10%,Murata,"C1, C2, C9, C11, C12, C45, C46, C49, C57, C58, C59, C64, C65, C67, C69, C73, C76, C79, C82, C88, C92, C95, C96, C97, C98, C99, C104",C0402
1,GRM155R60J106ME05D,10 uF - 6.3 V - X5R - 20%,Murata,C13,C0402
2,GCM1555C1H180FA16J,18 pF - 50 V - C0G - 1%,Murata,"C14, C18",C0402
1,TMK316BBJ226ML-T,22 uF - 25 V - X5R - 20%,Taiyo Yuden,C17,C1206
1,CL31B225KCHSNNE,2.2 uF - 100 V - X7R - 10%,Samsung,C21,C1206
4,CL10X106MO8NRNC,10uF - 16 V - 20%,Samsung,"C23, C25, C26, C28",C0603
2,C1608X5R0J156M080AC,15 uF - 6.3 V - 20%,TDK,"C24, C27",C0603
4,GRM31CC72A475ME11L,4.7 uF - 100V - X7S - 20%,Murata,"C29, C32, C33, C34",C1206
4,GRM1555C1H3R0CA01D,3 pF - 50 V - C0G - 0.25 pF,Murata,"C66, C80, C86, C93",C0402
4,CL10B105KA8NNNC,1 uF - 25 V - X7R - 10%,Samsung Electro-Mechanics,"C68, C72, C75, C78",C0805
4,BAS70-04WF,Schottky - 0.41 Vf - 0.7 If,Nexperia,"D1, D2, D3, D4",SOT-323
4,AP2012,Red,Kingbright,"D5, D6, D7, D8",LEDM4025X22
1,7427927141,1200 @ 300 Mhz - 0.25 A - 450 mOhm,Wurth Elektronik,FB1,L0402
1,TC2030-CTX,6 Pin JTAG,Tag Connect,J1,JTAG - 6 Pin Needle Nose
1,440052-8,440052-8,TE Connectivity,J2,2.5mm pitch - 8 pin
4,440052-6,440052-6,TE Connectivity,"J3, J5, J6, J7",2.5mm pitch - 6 pin
4,IAUC120N06,"60V, 120A",Infineon,"Q1, Q2, Q3, Q4",PG-TDSON-8-34
11,AC0402JR-7W10KL,10 kOhm - 5% - 0.0625 W,Yageo,"R1, R6, R14, R16, R17, R68, R71, R98, R99, R104, R105",R0402
4,PCS2512FR5000ET,0.5 Ohm - 1% - 1 W,Ohmite,"R2, R64, R67, R70",R2512
4,CRE2512-FZ-R001E-2,1 mOhm - 1% - 2 W ,Bourns,"R5, R7, R8, R9",R2512
1,ERJ-3RBD333V,33K Ohm - 0.1 W - 0.5%,Panasonic,R13,R0603
13,CR0402-FX-1001GLF,1 kOhm - 1% - 0.0625 W,Bourns,"R18, R34, R35, R36, R37, R38, R39, R40, R41, R47, R48, R51, R52",R0402
1,CRCW06038K45FKEA,8.45K Ohms - 0.1 W - 1%,Vishay,R19,R0603
1,ERJ-3EKF1001V,1K Ohm - 1% - 0.1 W,Panasonic,R20,R0603
2,ERJ-3GEYJ121V,120 Ohm - 5% - 0.1 W,Panasonic,"R22, R24",R0603
1,ERJ-3GEYJ201V,200 Ohm - 5% - 0.1 W,Panasonic,R23,R0603
1,ERJ-3GEYJ361V,360 Ohm - 5% - 0.1 W,Panasonic,R25,R0603
1,ERJ-3GEY0R00V,0 Ohm - 0.1 W - 0%,Panasonic,R27,R0603
12,CRGCQ0402J4K7,4.7 kOhm - 5% - 0.0625 W,TE Connectivity,"R29, R30, R45, R46, R55, R72, R75, R76, R80, R81, R89, R90",R0402
4,CR0402-FX-4702GLF,47 kOhm - 1% - 0.0625 W,Bourns,"R49, R50, R53, R54",R0402
4,AC0402FR-075K49L,5.49 kOhm - 1% - 0.0625 W,Yageo,"R73, R77, R84, R91",R0402
4,ERJ-3EKF1402V,14 kOhm - 1% - 0.1 W,Panasonic,"R74, R78, R85, R92",R0603
5,575-4,Banana Jack,Keystone,"TP2, TP3, TP4, TP5, TP6",575-bj
1,LPC822M101JHI33Y,LPC822,NXP,U1,HVQFN-33
1,MAX3221EIPWR,MAX3221E,TI,U2,PW0016A
1,INA821I,INA821,TI,U3,DGK (S-PDSO-G8)
1,LT3012EDE#PBF,LT3012EDE,Analog Devices,U8,DE (DFN-12)
2,INA2332AIPWT,INA2332,TI,"U11, U14",PW (R-PDSO-G14)
2,NCP1117LP-ADJ,NCP1117LP-ADJ,On Semiconductor,"U12, U13",SOT-223-3
1,LM4120-2.048,LM4120-2.048VRef,TI,U15,DBV0005A (SOT-23-5)
1,SN74AUP3G34DCUR,SN74AUP3G34DCUR,TI,U17,DCU (R-PDSO-G8)
3,LM358LVIPWR,LM358LVI,TI,"U18, U19, U26",PW0008A
4,IX4310TTR,IX4310TTR,IXYS,"U21, U22, U23, U24",SOT-23-5
1,830108174209,25 MHz Crystal,Wurth Elektronik,Y1,CFPX-180
