QTY,MPN,Value,Manufacturer,Ref. Des.,Package
2,C0805C105K4RAC7210,16 V - 1 uF - 10%,KEMET,"C1, C2",C0805
16,C0603C104J4RAC3190,16V - 0.1 uF - 5%,KEMET,"C3, C4, C5, C13, C15, C18, C32, C33, C39, C42, C50, C51, C52, C53, C55, C56",C0603
1,C0603C223K1RACTU,22 nF - 100 V - X7R - 10%,KEMET,C6,C0603
1,GRM188Z71C225ME43J,2.2 uF - 16 V - X7R - 20%,Murata,C7,C0603
7,GRM31CC72A475ME11L,4.7 uF - 100V - X7S - 20%,Murata,"C8, C26, C27, C28, C29, C30, C31",C1206
5,06036C104JAT2A,0.1 uF - 6.3 V - 5%,AVX,"C9, C20, C49, C54, C57",C0603
1,C0805C104J1REC7210,100 V - 0.1 uF - 5%,KEMET,C10,C0805
3,08056C105MAT2A,6.3 V - 1uF - 20%,AVX,"C14, C17, C41",C0805
1,GRM155R70J223KA01D,6.3 V - 0.022 uF - 10%,Murata,C16,C0603
4,F380J106MMA,10 uF - 6.3 V - Tant - 20%,AVX,"C19, C37, C38, C40",C603-Tantalum - M
1,CL31B225KCHSNNE,2.2 uF - 100 V - X7R - 10%,Samsung,C21,C1206
1,TMK316BBJ226ML-T,22 uF - 25 V - X5R - 20%,Taiyo Yuden,C22,C1206
6,CL10X106MO8NRNC,10uF - 16 V - 20%,Samsung,"C34, C36, C43, C45, C46, C48",C0603
3,C1608X5R0J156M080AC,15 uF - 6.3 V - 20%,TDK,"C35, C44, C47",C0603
1,CD1206-B2100,2A If - 100 V Vrrm - Vf 0.85 V,Bourns,D11,CD1206
3,M2-Mounting Hole,M2-Mounting Hole,"","MH1, MH2, MH3",m2-mounting-hole
6,IAUC120N06,"60V, 120A",Infineon,"Q1, Q2, Q3, Q4, Q5, Q6",PG-TDSON-8-34
3,ERJ-3GEYJ121V,120 Ohm - 5% - 0.1 W,Panasonic,"R3, R52, R54",R0603
4,ERJ-3GEY0R00V,0 Ohm - 0.1 W - 0%,Panasonic,"R4, R7, R12, R17",R0603
6,PCS2512FR5000ET,0.5 Ohm - 1% - 1 W,Ohmite,"R5, R6, R10, R11, R15, R16",R2512
1,CRCW06038K45FKEA,8.45K Ohms - 0.1 W - 1%,Vishay,R19,R0603
1,ERJ-3EKF1001V,1K Ohm - 1% - 0.1 W,Panasonic,R20,R0603
10,CRCW060310K0FKEB,10 kOhm - 1% - 1 W,Vishay,"R24, R26, R28, R30, R32, R34, R36, R38, R40, R49",R0603
9,ERJ-3RED47R0V,47 Ohm - 0.1 W - 0.5%,Panasonic,"R44, R45, R48, R56, R57, R59, R60, R62, R63",R0603
2,ERJ-3GEYJ201V,200 Ohm - 5% - 0.1 W,Panasonic,"R46, R53",R0603
1,RT0603FRE0786R6L,86.6 Ohm - 1% - 0.1W,Yageo,R47,R0603
3,CRE2512-FZ-R001E-2,1 mOhm - 1% - 2 W ,Bourns,"R51, R58, R61",R2512
1,ERJ-3GEYJ361V,360 Ohm - 5% - 0.1 W,Panasonic,R55,R0603
5,Test Point Hole 2.7x3,2.7 x 3 mm,"","TP1, TP2, TP3, TP24, TP25",generic-single-hole-2.7x3.5
20,Test Point Hole 0.9x1.1,0.9 mm x 1.1 mm,"","TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP23, TP26",generic-single-hole-0.9x1.1
1,DRV8303DCAR,DRV8303DCAR,TI,U1,DCA (R-PDSO-G48)
3,MCP33151D-05,500 Ksps - 14 Bit,MCP,"U2, U6, U10",MSOP10
1,LM4120-4.096,LM4120-4.096VRef,TI,U5,SOT-23-5
1,AS5048A-HTSP,AS5048A - 14 Bit Mag - SPI,AMS,U7,TSSOP14
1,LT3012EDE#PBF,LT3012EDE,Analog Devices,U8,DE (DFN-12)
3,NCP1117LP-ADJ,NCP1117LP-ADJ,On Semiconductor,"U9, U12, U13",SOT-223-3
3,INA240A1EDRQ1,100 kHz - 20V/V - 120 dB,TI,"U11, U14, U15",D0008A
